# Run this transcript with "python transcript_example.py -t transcripts/transcript_regex.txt"
# Anything between two forward slashes, /, is interpreted as a regular expression (regex).
# The regex for editor will match whatever program you use.
# regexes on prompts just make the trailing space obvious
(Cmd) set

 Name                            Value      Description
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 allow_style                     Terminal   Allow ANSI text style sequences in output (valid values: Always, Never, Terminal)
 always_show_hint                False      Display completion hint even when completion suggestions print
 debug                           True       Show full traceback on exception
 echo                            False      Echo command issued into output
 editor                          vim        Program used by 'edit'
 feedback_to_output              False      Include nonessentials in '|' and '>' results
 max_column_completion_results   7          Maximum number of completion results to display in a single column
 max_completion_table_items      50         Maximum number of completion results allowed for a completion table to appear
 quiet                           False      Don't print nonessential feedback
 scripts_add_to_history          True       Scripts and pyscripts add commands to history
 timing                          False      Report execution times
